"dialog_id","turn_id","domains","domains_original","context","schema","target","is_api_call"
"1_00000","1","restaurants","Restaurants_2","
Last User Utterance:I want to make a restaurant reservation for 2 people at half past 11 in the morning.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","What city do you want to dine in? Do you have a preferred restaurant?","0"
"1_00000","2","restaurants","Restaurants_2","User: I want to make a restaurant reservation for 2 people at half past 11 in the morning.
System: What city do you want to dine in? Do you have a preferred restaurant?
Last User Utterance:Please find restaurants in San Jose. Can you try Sino?
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Confirming: I will reserve a table for 2 people at Sino in San Jose. The reservation time is 11:30 am today.","0"
"1_00000","3","restaurants","Restaurants_2","User: I want to make a restaurant reservation for 2 people at half past 11 in the morning.
System: What city do you want to dine in? Do you have a preferred restaurant?
User: Please find restaurants in San Jose. Can you try Sino?
System: Confirming: I will reserve a table for 2 people at Sino in San Jose. The reservation time is 11:30 am today.
Last User Utterance:Yes, thanks. What's their phone number?
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","ApiCall(method='ReserveRestaurant', parameters={'date': '2019-03-01', 'location': 'San Jose', 'number_of_seats': '2', 'restaurant_name': 'Sino', 'time': '11:30'})","1"
"1_00000","4","restaurants","Restaurants_2","User: I want to make a restaurant reservation for 2 people at half past 11 in the morning.
System: What city do you want to dine in? Do you have a preferred restaurant?
User: Please find restaurants in San Jose. Can you try Sino?
System: Confirming: I will reserve a table for 2 people at Sino in San Jose. The reservation time is 11:30 am today.
Last User Utterance:Yes, thanks. What's their phone number?
End Dialog History

Search Results:
{'search_results': {'address': '377 Santana Row #1000', 'category': 'Asian', 'date': '2019-03-01', 'has_seating_outdoors': 'True', 'has_vegetarian_options': 'True', 'location': 'San Jose', 'number_of_seats': '2', 'phone_number': '408-247-8880', 'price_range': 'moderate', 'rating': '4.00', 'restaurant_name': 'Sino', 'time': '11:30'}}
End Search Results
ApiCall(method='ReserveRestaurant', parameters={'date': '2019-03-01', 'location': 'San Jose', 'number_of_seats': '2', 'restaurant_name': 'Sino', 'time': '11:30'})","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Your reservation has been made. Their phone number is 408-247-8880.","0"
"1_00000","5","restaurants","Restaurants_2","User: I want to make a restaurant reservation for 2 people at half past 11 in the morning.
System: What city do you want to dine in? Do you have a preferred restaurant?
User: Please find restaurants in San Jose. Can you try Sino?
System: Confirming: I will reserve a table for 2 people at Sino in San Jose. The reservation time is 11:30 am today.
User: Yes, thanks. What's their phone number?
System: Your reservation has been made. Their phone number is 408-247-8880.
Last User Utterance:What's their address? Do they have vegetarian options on their menu?
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","The street address is 377 Santana Row #1000. They have good vegetarian options.","0"
"1_00000","6","restaurants","Restaurants_2","User: I want to make a restaurant reservation for 2 people at half past 11 in the morning.
System: What city do you want to dine in? Do you have a preferred restaurant?
User: Please find restaurants in San Jose. Can you try Sino?
System: Confirming: I will reserve a table for 2 people at Sino in San Jose. The reservation time is 11:30 am today.
User: Yes, thanks. What's their phone number?
System: Your reservation has been made. Their phone number is 408-247-8880.
User: What's their address? Do they have vegetarian options on their menu?
System: The street address is 377 Santana Row #1000. They have good vegetarian options.
Last User Utterance:Thanks very much.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Is there anything else I can help you with?","0"
"1_00000","7","restaurants","Restaurants_2","User: I want to make a restaurant reservation for 2 people at half past 11 in the morning.
System: What city do you want to dine in? Do you have a preferred restaurant?
User: Please find restaurants in San Jose. Can you try Sino?
System: Confirming: I will reserve a table for 2 people at Sino in San Jose. The reservation time is 11:30 am today.
User: Yes, thanks. What's their phone number?
System: Your reservation has been made. Their phone number is 408-247-8880.
User: What's their address? Do they have vegetarian options on their menu?
System: The street address is 377 Santana Row #1000. They have good vegetarian options.
User: Thanks very much.
System: Is there anything else I can help you with?
Last User Utterance:No, that's all. Thanks.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Have a great day.","0"
"1_00001","1","restaurants","Restaurants_2","
Last User Utterance:I am not in the mood to cook today. I want to eat out at a restaurant instead.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","Which area would you like me to look in? Which restaurant would you like to eat in and at what time?","0"
"1_00001","2","restaurants","Restaurants_2","User: I am not in the mood to cook today. I want to eat out at a restaurant instead.
System: Which area would you like me to look in? Which restaurant would you like to eat in and at what time?
Last User Utterance:Look for a restaurant in Saratoga. Check to see if I can have a table for 1 at Sipan for 11:30.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","You would like a table for 1 person for today at 11:30 am at the Sipan Peruvian Restaurant & Bar in Saratoga?","0"
"1_00001","3","restaurants","Restaurants_2","User: I am not in the mood to cook today. I want to eat out at a restaurant instead.
System: Which area would you like me to look in? Which restaurant would you like to eat in and at what time?
User: Look for a restaurant in Saratoga. Check to see if I can have a table for 1 at Sipan for 11:30.
System: You would like a table for 1 person for today at 11:30 am at the Sipan Peruvian Restaurant & Bar in Saratoga?
Last User Utterance:I would like to book at table at Rosie Mccann's for March 2nd.
End Dialog History

","Schema for Restaurants
Intent: ReserveRestaurant
required slots: restaurant name,location,time
optional slots: number of seats,date
Intent: FindRestaurants
required slots: category,location
optional slots: price range,has vegetarian options,has seating outdoors","You would like me to book a table at Rosie Mccann's Irish Pub & Restaurant for tomorrow?","0"
